LeftTorque:-10006.1 ,RightTorque:10005.7
LeftTorque:-10019.9 ,RightTorque:10019
LeftTorque:9996.3 ,RightTorque:10013.4
LeftTorque:10000.4 ,RightTorque:9402.57
LeftTorque:9993.77 ,RightTorque:-2890
LeftTorque:9981.04 ,RightTorque:-3866.34
LeftTorque:8101.91 ,RightTorque:-3951
LeftTorque:-434.162 ,RightTorque:-3691.31
LeftTorque:-1311.48 ,RightTorque:-3152.09
LeftTorque:-1641.86 ,RightTorque:-2642.35
LeftTorque:-1818.72 ,RightTorque:-2223.04
LeftTorque:-1894.56 ,RightTorque:-1886.71
LeftTorque:-1896.39 ,RightTorque:-1617.34
LeftTorque:-1845.12 ,RightTorque:-1400.53
LeftTorque:-1757.21 ,RightTorque:-1224.6
LeftTorque:-1645.47 ,RightTorque:-1080.38
LeftTorque:-1519.73 ,RightTorque:-960.733
LeftTorque:-1387.47 ,RightTorque:-860.124
LeftTorque:-1254.33 ,RightTorque:-774.292
LeftTorque:-1124.46 ,RightTorque:-699.969
LeftTorque:-1000.83 ,RightTorque:-634.669
LeftTorque:-885.436 ,RightTorque:-576.519
LeftTorque:-779.513 ,RightTorque:-524.133
LeftTorque:-683.656 ,RightTorque:-476.501
LeftTorque:-597.972 ,RightTorque:-432.903
LeftTorque:-522.198 ,RightTorque:-392.83
LeftTorque:-455.801 ,RightTorque:-355.929
LeftTorque:-398.068 ,RightTorque:-321.951
LeftTorque:-348.183 ,RightTorque:-290.715
LeftTorque:-305.284 ,RightTorque:-262.076
LeftTorque:-268.512 ,RightTorque:-235.908
LeftTorque:-237.042 ,RightTorque:-212.088
LeftTorque:-210.109 ,RightTorque:-190.489
LeftTorque:-187.019 ,RightTorque:-170.977
LeftTorque:-167.16 ,RightTorque:-153.413
LeftTorque:-150 ,RightTorque:-137.648
LeftTorque:-135.083 ,RightTorque:-123.533
LeftTorque:-122.027 ,RightTorque:-110.917
LeftTorque:-110.516 ,RightTorque:-99.6545
LeftTorque:-100.291 ,RightTorque:-89.6041
LeftTorque:-91.1407 ,RightTorque:-80.6337
LeftTorque:-82.8983 ,RightTorque:-72.6208
LeftTorque:-75.4298 ,RightTorque:-65.4539
LeftTorque:-68.6296 ,RightTorque:-59.033
